N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
2,0,2.0,1.0,0.040000000000000036,3.96,2.0,1,4,1.4142135623730951,2.0,1.0,2,1,3,,,,,1.5,2.0,2.5,2.8,2.9,2.98,association
88,0,3.1931818181818183,0.21002683969490538,2.781529212379804,3.604834423983833,3.0,1,281,1.9702263977817867,3.881792058516195,4.0,7,1,8,0.5360514725741713,-0.756858142224599,0.8964210963109304,3.5014965097937404e-06,1.0,3.0,5.0,6.0,6.6499999999999915,8.0,dataInputAssociation
89,0,3.146067415730337,0.17545400163554736,2.8021775725246645,3.48995725893601,3.0,2,280,1.6552297409735823,2.7397854954034724,2.0,8,1,9,0.8242120568912623,0.633195361527966,0.9108673416258429,1.4199837687884349e-05,2.0,3.0,4.0,5.0,6.0,7.240000000000009,dataObject
89,0,3.146067415730337,0.17545400163554736,2.8021775725246645,3.48995725893601,3.0,2,280,1.6552297409735823,2.7397854954034724,2.0,8,1,9,0.8242120568912623,0.633195361527966,0.9108673416258429,1.4199837687884349e-05,2.0,3.0,4.0,5.0,6.0,7.240000000000009,dataObjectReference
89,0,3.6853932584269664,0.18261766018245668,3.3274626444693514,4.0433238723845815,3.0,3,328,1.7228115605416208,2.9680796731358545,3.0,8,1,9,0.7895641879544744,0.07700786538251592,0.9081560495899417,1.0594367349513968e-05,2.0,3.0,5.0,6.0,7.0,8.120000000000005,dataOutputAssociation
40,0,1.15,0.10469736606781696,0.9447931625070787,1.3552068374929211,1.0,1,46,0.662164283589457,0.4384615384615388,0.0,4,1,5,5.202773192690284,27.199958961731816,0.24259804233821736,4.2365794851585296e-13,1.0,1.0,1.0,1.0,2.0,3.8299999999999983,dataStoreReference
87,0,1.0,0.0,,,1.0,1,87,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,endEvent
14,0,1.0714285714285714,0.07142857142857142,0.9314285714285714,1.2114285714285713,1.0,1,15,0.26726124191242434,0.0714285714285714,0.0,1,1,2,3.3282011773513758,9.076923076923087,0.2968406873620637,2.1898473496318204e-07,1.0,1.0,1.0,1.0,1.3499999999999996,1.8699999999999992,eventBasedGateway
94,0,2.3617021276595747,0.07070431019831369,2.22312167967088,2.5002825756482694,2.0,3,222,0.6855037207617625,0.46991535117822036,1.0,2,1,3,-0.5996881618403109,-0.7389253542853185,0.7611185671547795,4.63675818974764e-11,2.0,2.0,3.0,3.0,3.0,3.0,exclusiveGateway
6,0,9.5,0.670820393249937,8.185192029230123,10.814807970769877,9.5,9,57,1.6431676725154984,2.7,1.0,5,7,12,0.0,-0.4197530864197532,0.9513906437359021,0.7515286237647281,9.0,9.5,10.0,11.0,11.5,11.9,flowNodeRef
