N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag,Category,Tag-Synth,Occurrency
14,0,2.642857143,0.357142857,1.942857143,3.342857143,3,1,37,1.33630621,1.785714286,2.5,4,1,5,0.083973076,-1.166106509,0.899975907,0.112693362,1.25,3,3.75,4,4.35,4.87,dataObject,Artifacts,DataObject,2
18,0,1.166666667,0.121267813,0.928981754,1.404351579,1,1,21,0.514495755,0.264705882,0,2,1,3,2.962962963,7.481481481,0.377230679,8.14E-08,1,1,1,1.3,2.15,2.83,endEvent,Flow objects ,EndEvent,1
18,0,1.666666667,0.22866478,1.218483697,2.114849636,1.5,1,30,0.9701425,0.941176471,1,4,1,5,2.298097039,5.8125,0.626349343,1.25E-05,1,1.5,2,2,2.45,4.49,exclusiveGateway,Flow objects ,ExclusiveGateway,1
18,0,11.22222222,0.563344098,10.11806779,12.32637665,11,11,202,2.390066589,5.712418301,4,8,7,15,-0.004159695,-1.034021229,0.940030223,0.290130619,9,11,13,14.3,15,15,incoming,Connecting objects,incoming,8
3,0,1,0,,,1,1,3,0,0,0,0,1,1,,,,,1,1,1,1,1,1,intermediateCatchEvent,Flow objects ,IntermediateCatchEvent,1
2,0,1,0,,,1,1,2,0,0,0,0,1,1,,,,,1,1,1,1,1,1,intermediateThrowEvent,Flow objects ,intermediateThrowEvent,0
8,0,1.5,0.188982237,1.129594816,1.870405184,1.5,1,12,0.534522484,0.285714286,1,1,1,2,0,-2,0.664655904,0.000891702,1,1.5,2,2,2,2,lane,Swim lanes,lanes,2
10,0,1,0,,,1,1,10,0,0,0,0,1,1,,,,,1,1,1,1,1,1,laneSet,Swim lanes,laneSets,1
18,0,11.22222222,0.563344098,10.11806779,12.32637665,11,11,202,2.390066589,5.712418301,4,8,7,15,-0.004159695,-1.034021229,0.940030223,0.290130619,9,11,13,14.3,15,15,outgoing,Connecting objects,outgoing,7
9,0,1.888888889,0.111111111,1.671111111,2.106666667,2,2,17,0.333333333,0.111111111,0,1,1,2,-2.474873734,4.125,0.389841298,3.22E-07,2,2,2,2,2,2,parallelGateway,Flow objects ,parallelGateway,0
18,0,11.22222222,0.563344098,10.11806779,12.32637665,11,11,202,2.390066589,5.712418301,4,8,7,15,-0.004159695,-1.034021229,0.940030223,0.290130619,9,11,13,14.3,15,15,sequenceFlow,Connecting objects,SequenceFlow,8
15,0,3.266666667,0.441498171,2.401330252,4.132003082,3,5,49,1.709915063,2.923809524,3,5,1,6,0.014328606,-1.393717705,0.904366336,0.11099419,2,3,5,5,5.3,5.86,sourceRef,Connecting objects,sourceRef,8
18,0,1.333333333,0.140028008,1.058878437,1.60778823,1,1,24,0.594088526,0.352941176,0.75,2,1,3,1.539600718,1.333333333,0.613630708,9.27E-06,1,1,1.75,2,2.15,2.83,startEvent,Flow objects ,StartEvent,1
15,0,4.933333333,0.60526788,3.747008289,6.119658378,5,4,74,2.344192419,5.495238095,3.5,7,1,8,-0.089587165,-1.208775745,0.930709451,0.27961391,3.5,5,7,8,8,8,targetRef,Connecting objects,targetRef,8
18,0,5.722222222,0.289303373,5.155187611,6.289256833,6,6,103,1.227410261,1.506535948,1,5,3,8,-0.041624193,0.337576051,0.90716682,0.076699006,5,6,6,7.3,8,8,task,Flow objects ,UserTask,5
